bpmnElementType,bpmnProcessId,completed,created,duration,elementId,endPosition,ended,flowScopeKey,key,partition,startPosition,version,workflowInstanceKey,workflowKey
START_EVENT,process,true,1551053977118,0,StartEvent_1,4295134864,1551053977118,248,249,0,4295134120,1,248,1
START_EVENT,process,true,1551053977123,1,StartEvent_1,4295138048,1551053977124,253,254,0,4295137304,1,253,1
START_EVENT,process,true,1551053977132,0,StartEvent_1,4295141256,1551053977132,258,259,0,4295140488,1,258,1
START_EVENT,process,true,1551053977137,1,StartEvent_1,4295144464,1551053977138,263,264,0,4295143696,1,263,1
START_EVENT,process,true,1551053977145,0,StartEvent_1,4295147672,1551053977145,268,269,0,4295146904,1,268,1
START_EVENT,process,true,1551053977151,1,StartEvent_1,4295150880,1551053977152,273,274,0,4295150112,1,273,1
START_EVENT,process,true,1551053977158,1,StartEvent_1,4295154088,1551053977159,278,279,0,4295153320,1,278,1
START_EVENT,process,true,1551053977164,1,StartEvent_1,4295157296,1551053977165,283,284,0,4295156528,1,283,1
START_EVENT,process,true,1551053977169,2,StartEvent_1,4295160504,1551053977171,288,289,0,4295159736,1,288,1
START_EVENT,process,true,1551053977176,0,StartEvent_1,4295163712,1551053977176,293,294,0,4295162944,1,293,1
START_EVENT,process,true,1551053977181,1,StartEvent_1,4295166920,1551053977182,298,299,0,4295166152,1,298,1
START_EVENT,process,true,1551053977188,0,StartEvent_1,4295170128,1551053977188,303,304,0,4295169360,1,303,1
START_EVENT,process,true,1551053977195,1,StartEvent_1,4295173336,1551053977196,308,309,0,4295172568,1,308,1
START_EVENT,process,true,1551053977205,1,StartEvent_1,4295176544,1551053977206,313,314,0,4295175776,1,313,1
START_EVENT,process,true,1551053977212,1,StartEvent_1,4295179752,1551053977213,318,319,0,4295178984,1,318,1
START_EVENT,process,true,1551053977219,1,StartEvent_1,4295182960,1551053977220,323,324,0,4295182192,1,323,1
START_EVENT,process,true,1551053977226,1,StartEvent_1,4295186168,1551053977227,328,329,0,4295185400,1,328,1
START_EVENT,process,true,1551053977233,0,StartEvent_1,4295189376,1551053977233,333,334,0,4295188608,1,333,1
START_EVENT,process,true,1551053977237,1,StartEvent_1,4295192584,1551053977238,338,339,0,4295191816,1,338,1
START_EVENT,process,true,1551053977244,1,StartEvent_1,4295195792,1551053977245,343,344,0,4295195024,1,343,1
START_EVENT,process,true,1551053977253,1,StartEvent_1,4295199000,1551053977254,348,349,0,4295198232,1,348,1
START_EVENT,process,true,1551053977259,0,StartEvent_1,4295202208,1551053977259,353,354,0,4295201440,1,353,1
START_EVENT,process,true,1551053977264,1,StartEvent_1,4295205416,1551053977265,358,359,0,4295204648,1,358,1
START_EVENT,process,true,1551053977270,1,StartEvent_1,4295208624,1551053977271,363,364,0,4295207856,1,363,1
START_EVENT,process,true,1551053977276,1,StartEvent_1,4295211832,1551053977277,368,369,0,4295211064,1,368,1
START_EVENT,process,true,1551053977282,0,StartEvent_1,4295215040,1551053977282,373,374,0,4295214272,1,373,1
START_EVENT,process,true,1551053977292,0,StartEvent_1,4295218248,1551053977292,378,379,0,4295217480,1,378,1
START_EVENT,process,true,1551053977301,1,StartEvent_1,4295221456,1551053977302,383,384,0,4295220688,1,383,1
START_EVENT,process,true,1551053977314,0,StartEvent_1,4295224664,1551053977314,388,389,0,4295223896,1,388,1
START_EVENT,process,true,1551053977320,0,StartEvent_1,4295227872,1551053977320,393,394,0,4295227104,1,393,1
START_EVENT,process,true,1551053977326,0,StartEvent_1,4295231080,1551053977326,398,399,0,4295230312,1,398,1
START_EVENT,process,true,1551053977332,0,StartEvent_1,4295234288,1551053977332,403,404,0,4295233520,1,403,1
